id,expression_id,referenced_word_id,start,length
95258,60304,16,0,2
95259,60312,80,0,4
95260,60312,1547,5,8
95261,60314,6579,0,2
95262,60314,24,3,2
95263,60344,14,4,3
95264,60374,143,2,5
95265,60374,143,8,6
95266,60433,32343,0,5
95267,60433,513,6,7
95268,60434,32343,0,5
95269,60434,116,6,8
95270,60443,60443,0,7
95271,60444,16,0,2
95272,60444,757,3,7
95273,60448,855,0,5
95274,60448,5,6,2
95275,60448,15997,9,7
95276,60465,56,3,5
95277,60466,427,0,5
95278,60466,7,6,3
95279,60527,2585,0,7
95280,60560,5341,0,4
95281,60560,10,5,1
95282,60560,14024,7,8
95283,60560,4104,16,8
95284,60598,56864,0,13
95285,60598,1250,14,5
95286,60606,143,2,5
95287,60615,26,0,3
95288,60615,54,4,3
95289,60615,576,8,5
95290,60618,13213,0,8
95291,60618,988,9,6
95292,60627,5,6,2
95293,60627,40,9,4
95294,60628,5,6,2
95295,60628,40,9,4
95296,60629,261,2,5
95297,60629,4837,8,9
95298,60638,4457,0,7
