,id,age,gender,race,city,state,Year
225,2463,36.0,Male,White,Lafayette,IN,2017
226,2467,73.0,Male,White,Manistee,MI,2017
227,2466,26.0,Male,White,Chattanooga,TN,2017
228,2468,41.0,Male,White,Stockton,IL,2017
229,2469,59.0,Male,White,Byars,OK,2017
230,2470,28.0,Male,Black,New Castle,DE,2017
231,2471,45.0,Male,White,Lawrenceburg,KY,2017
232,2473,27.0,Male,White,Whitewright,TX,2017
233,2474,46.0,Male,White,Cranbury Township,NJ,2017
234,2475,34.0,Male,Black,Cantonment,FL,2017
235,2476,30.0,Male,Asian,New Iberia,LA,2017
236,2479,47.0,Male,Hispanic,Bakersfield,CA,2017
237,2480,32.0,Male,Hispanic,Houston,TX,2017
238,2481,65.0,Male,White,Napa,CA,2017
239,2482,19.0,Male,Hispanic,Goshen,IN,2017
240,2483,22.0,Male,White,Little Rock,AR,2017
241,2484,39.0,Male,Black,Westerville,OH,2017
242,2485,38.0,Male,White,Madison Township,OH,2017
243,2486,68.0,Male,White,Bradenton,FL,2017
244,2487,49.0,Male,Black,Largo,FL,2017
245,2488,37.0,Male,Black,Newark,NJ,2017
246,2495,33.0,Male,Asian,Kyle,SD,2017
247,2492,25.0,Male,White,Eau Claire,WI,2017
248,2490,36.0,Male,Hispanic,Santa Paula,CA,2017
249,2493,30.0,Male,White,Cleveland,OH,2017
250,2494,39.0,Male,Black,Houston,TX,2017
251,2496,28.0,Male,Black,Los Angeles,CA,2017
252,2499,28.0,Male,White,Avondale,AZ,2017
253,2500,25.0,Male,White,Udall,KS,2017
254,2501,57.0,Male,White,Suffield,CT,2017
255,2502,33.0,Male,White,Spanaway,WA,2017
256,2503,24.0,Male,Native,Mandan,ND,2017
257,2506,33.0,Male,Black,West Memphis,AR,2017
258,2509,56.0,Male,White,Newport Beach,CA,2017
259,2510,56.0,Male,White,Colebrook Township,OH,2017
260,2520,16.0,Male,Hispanic,Fresno,CA,2017
261,2508,47.0,Male,White,Vadnais Heights,MN,2017
262,2713,33.0,Male,White,Clarksville,TN,2017
263,2511,32.0,Male,White,Brandywine,WV,2017
264,2514,21.0,Male,Black,Wilmington,DE,2017
265,2513,64.0,Male,White,Logan County,OK,2017
266,2515,19.0,Male,Black,Seattle,WA,2017
267,2517,26.0,Male,Hispanic,Hardeeville,SC,2017
268,2518,25.0,Male,Hispanic,Glendale,AZ,2017
269,2525,17.0,Female,White,Glendale,AZ,2017
270,2519,25.0,Male,White,West Linn,OR,2017
271,2521,43.0,Male,Asian,Yuba City,CA,2017
272,2522,39.0,Male,Black,Portage,IN,2017
273,2523,24.0,Male,White,Hamilton,OH,2017
274,2526,70.0,Male,White,Prescott,AZ,2017
275,2524,79.0,Male,White,Stewartstown,PA,2017
276,2527,16.0,Male,Black,Houston,TX,2017
277,2531,35.0,Male,White,Wolf Creek,OR,2017
278,2714,15.0,Male,Black,Killeen,TX,2017
279,2528,23.0,Male,Black,Newark,NJ,2017
280,2529,53.0,Male,Hispanic,Fort Worth,TX,2017
281,2532,20.0,Male,Hispanic,Bellflower,CA,2017
282,2534,53.0,Male,White,Lewistown,PA,2017
283,2536,32.0,Male,White,Columbus,OH,2017
284,2535,26.0,Male,Black,Middletown,DE,2017
285,2537,53.0,Male,White,Rapid City,SD,2017
286,2542,32.0,Male,Black,Atlanta,GA,2017
287,2547,25.0,Male,Hispanic,San Mateo,CA,2017
288,2538,15.0,Male,Black,Balch Springs,TX,2017
289,2539,59.0,Male,White,Papaaloa,HI,2017
290,2543,35.0,Male,Black,Newport News,VA,2017
291,2546,33.0,Male,Hispanic,Eldorado,NM,2017
292,2540,32.0,Male,White,Tom,OK,2017
293,2544,49.0,Male,White,University City,CA,2017
294,2545,46.0,Male,Black,Detroit,MI,2017
295,2550,25.0,Male,White,Conroe,TX,2017
296,2551,20.0,Male,Hispanic,Austin,TX,2017
297,2553,24.0,Male,White,San Jose,CA,2017
298,2554,18.0,Male,Black,Grand Rapids,MI,2017
299,2555,67.0,Male,White,Peachtree City,GA,2017
300,2556,26.0,Male,White,San Francisco,CA,2017
301,2561,54.0,Female,Hispanic,Katy,TX,2017
302,2557,15.0,Male,White,San Diego,CA,2017
303,2558,27.0,Male,Black,Phenix City,AL,2017
304,2559,26.0,Male,Hispanic,Buffalo,NY,2017
305,2560,62.0,Male,White,Las Vegas,NV,2017
306,2562,24.0,Male,Black,Austin,TX,2017
307,2567,32.0,Male,Black,Rancho Cordova,CA,2017
308,2568,29.0,Male,White,Los Angeles,CA,2017
309,2563,15.0,Male,Hispanic,Bridgeport,CT,2017
310,2564,25.0,Male,Black,Jacksonville,FL,2017
311,2565,40.0,Male,White,Westminster,CO,2017
312,2566,39.0,Male,White,Lexington,SC,2017
313,2569,34.0,Male,White,Tiffin,OH,2017
314,2617,36.0,Male,White,Brighton Township,MI,2017
315,2570,24.0,Male,Black,Portland,OR,2017
316,2571,50.0,Female,Black,St. Louis,MO,2017
317,2573,37.0,Male,Hispanic,Arlington,TX,2017
318,2575,30.0,Male,White,Billings,MT,2017
319,2577,35.0,Male,White,Baldwin County,AL,2017
320,2578,46.0,Male,White,Jupiter,FL,2017
321,2576,37.0,Male,White,West Allis,WI,2017
322,2580,41.0,Male,Black,Columbia,MO,2017
323,2579,41.0,Male,Hispanic,Kingman,AZ,2017
324,2715,48.0,Male,White,Pulaski,VA,2017
325,2581,27.0,Female,Black,Phoenix,AZ,2017
326,2582,29.0,Male,Black,Richmond,VA,2017
327,2583,47.0,Male,White,Johnson City,TN,2017
328,2585,34.0,Male,Hispanic,Del Mar,CA,2017
329,2589,48.0,Male,White,Wewoka,OK,2017
330,2586,41.0,Female,White,Washington,DC,2017
331,2587,25.0,Male,Black,Tempe,AZ,2017
332,2588,24.0,Male,Hispanic,Tustin,CA,2017
333,2591,38.0,Male,White,Three Forks,MT,2017
334,2590,28.0,Male,White,Arlington,VA,2017
335,2592,47.0,Male,White,Lower Mount Bethel,PA,2017
336,2593,65.0,Male,White,Belgrade,ME,2017
337,2599,58.0,Male,White,Pleasanton,CA,2017
338,2594,33.0,Male,Black,Appleton,WI,2017
339,2595,43.0,Male,White,Allentown,PA,2017
340,2596,24.0,Male,Black,Converse,LA,2017
341,2598,37.0,Male,Hispanic,Orlando,FL,2017
342,2600,31.0,Male,White,Mountain Home,ID,2017
343,2602,65.0,Male,White,Pahrump,NV,2017
344,2603,59.0,Male,White,San Francisco,CA,2017
345,2605,74.0,Male,White,Knoxville,TN,2017
346,2604,24.0,Male,White,Canton,OH,2017
347,2606,37.0,Male,Hispanic,Los Angeles,CA,2017
348,2618,23.0,Male,White,Fairbanks,AK,2017
349,2614,59.0,Male,Hispanic,San Rafael,NM,2017
350,2615,33.0,Male,White,St. Louis,MO,2017
351,2616,34.0,Male,White,Tucson,AZ,2017
352,2612,30.0,Male,White,Oneida,TN,2017
353,2610,22.0,Male,Black,Cary,NC,2017
354,2607,37.0,Male,White,Arundel,ME,2017
355,2609,20.0,Male,Hispanic,Vacaville,CA,2017
