#,Country,City,Industry,Company
253,USA,Perkinston MS,Community college,Mississippi Gulf Coast Community College
254,USA,Sidney MI,Community college,Montcalm Community College (MCC)
255,USA,Norfolk NE,Community college,Northeast Community College
256,USA,Pratt KS,Community college,Pratt Community College
257,USA,Shoreline WA,Community college,Shoreline Community College (SCC)
258,USA,Binghamton NY,Community college,SUNY Broome Community College
259,USA,Tacoma WA,Community college,Tacoma Community College
260,USA,Tulsa OK,Community college,Tulsa Community College
261,USA,Richmond VA,Community College System,Virginia Community College System (VCCS)
262,USA,Jackson TN,Community college?,Jackson State Community College
263,USA,,Company,
264,USA,,Company?,
265,USA,,Company?,
266,USA,Oak Ridge TN,Consortium of universities,Oak Ridge Associated Universities (ORAU)
267,USA,,Consulting company,
268,USA,McLean VA,Consulting company,Maximus
269,USA,,Consulting company?,
270,USA,Pittsburgh PA,County government,Allegheny County
271,USA,Tampa FL,County government,Hillsborough County
272,USA,,Credit union,
273,USA,Missoula MT,Credit union,Clearwater Credit Union
274,USA,Chadds Ford PA,Credit union,Franklin Mint Federal Credit Union
275,USA,,Credit union,Quorum Federal Credit Union
276,USA,Grand Rapids MI,Credit union service provider,CU*Answers
277,USA,,Credit union?,
278,USA,,Credit union?,
279,USA,,Credit union?,
280,USA,,Credit union?,
281,USA,,Credit union?,
282,USA,,Credit union?,
283,USA,,Credit union?,
284,USA,Rochester NY,Data service provider for the healthcare sector,Cognisight
285,USA,"Washington, D.C.",Department of Agriculture,U.S. Department of Agriculture
286,USA,Minneapolis MN,Department of Education,Minnesota Department of Education
287,USA,Denver CO,Department of Health Care Policy,Colorado Department of Health Care Policy & Financing
288,USA,Salem OR,Department of Transportation,Oregon Department of Transportation (ODOT)
289,USA,,Design and architecture firm?,
290,USA,Durham NC,Diagnostics,bioMérieux
291,USA,Redwood City CA,Donation management,TIAA Kaspick
292,USA,Sacramento CA,Elderly care service,Sutter SeniorCare PACE / Sutter Senior Care
293,USA,,Electronic products supplier?,
294,USA,,Electronic products supplier?,
295,USA,,Electronic products supplier?,
296,USA,,Electronics wholesaler?,
297,USA,,Energy company?,
298,USA,,Engineering company?,
299,USA,,Entertainment industry?,
300,USA,,Financial service provider,
301,USA,,Financial service provider,
302,USA,,Financial service provider,
303,USA,Des Moines IA,Financial service provider,F&G Annuities & Life
304,USA,Boston MA,Financial service provider,Fidelity Investments
305,USA,Richmond VA,Financial service provider,Genworth Financial
306,USA,Omaha NE,Financial service provider,TD Ameritrade
307,USA,,Financial service provider?,
308,USA,,Financial service provider?,
309,USA,,Financial service provider?,
310,USA,,Financial service provider?,
311,USA,,Financial service provider?,
312,USA,Houston TX,Financial services provider,Corebridge Financial
313,USA,,FinTech company?,
314,USA,,Furniture components?,
315,USA,Springfield IL,Government,
316,USA,"Washington, D.C.",Health and Human Services,U.S. Department of Health and Human Services (HHS)
317,USA,,Health care provider?,
318,USA,Bellaire TX,Health care system,Harris Health System
319,USA,Baltimore MD,Health care system,Johns Hopkins Health System
320,USA,Tulsa OK,Health care system,Saint Francis Health System
321,USA,,Health care system?,
322,USA,Louisville KY,Health care system?,UofL Health
323,USA,,Health insurance,UnitedHealthcare Student Resources
324,USA,,Health insurance?,
325,USA,Wilmington DE,Health insurer,Highmark Blue Cross Blue Shield Delaware
326,USA,,Health plan?,
327,USA,Baltimore MD,Healthcare Facility,Kennedy Krieger Institute
328,USA,Los Angeles CA,Healthcare network,AltaMed Health Services
329,USA,,Healthcare software?,
330,USA,,Hospital Service Provider?,
331,USA,Rockville MD,Hotel group,Choice Hotels International
332,USA,St. Louis MO,Insurance,Concordia Plans
333,USA,Birmingham AL,Insurance agency,"EBS Services, LLC"
334,USA,Seattle WA,Insurance Broker,Milliman Solutions
335,USA,Cincinnati OH,Insurance company,Annuity Investors Life Insurance Co.
336,USA,West Des Moines IA,Insurance company,Athene Annuity and Life Company
337,USA,Chesterfield MO,Insurance company,Aurora National Life Assurance
338,USA,Charlotte NC,Insurance company,Brighthouse Life Insurance
339,USA,San Francisco CA,Insurance company,Delta Dental
340,USA,Armonk NY,Insurance company,Elips Life Insurance Company
341,USA,Richmond VA,Insurance company,Genworth Life and Annuity Insurance Company
342,USA,Richmond VA,Insurance company,Genworth Life Insurance Company
343,USA,New York City NY,Insurance company,Genworth Life Insurance Company of New York
344,USA,Lansing MI,Insurance company,Jackson National Life Insurance Company
345,USA,Armonk NY,Insurance company,Lumico Life Insurance Company
346,USA,Cincinnati OH,Insurance company,Manhattan National Life Insurance Co.
347,USA,Springfield MA,Insurance company,Massachusetts Mutual Life Company (MassMutual)
348,USA,Milwaukee WI,Insurance company,Northwestern Mutual
