Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Case Every X ppl,1 Death Every X ppl,1 Test Every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Denmark,320222,0,2550,0,306324,0,11348,8,55073,439.0,76780193,13205047,5814458,Europe,18,2280,0,0.0,0,1952
Sri Lanka,318775,0,4727,0,284524,0,29524,0,14819,220.0,4412770,205138,21511202,Asia,67,4551,5,0.0,0,1372
Palestine,317404,0,3609,0,312320,0,1475,13,60686,690.0,2005820,383502,5230266,Asia,16,1449,3,0.0,0,282
Myanmar,315118,0,10695,0,225849,0,78574,0,5750,195.0,3209590,58561,54807560,Asia,174,5125,17,0.0,0,1434
Venezuela,309218,0,3649,0,294607,0,10962,681,10908,129.0,3359014,118492,28347937,South America,92,7769,8,0.0,0,387
Ireland,305527,0,5044,0,269597,0,30886,30,61131,1009.0,4729538,946309,4997880,Europe,16,991,1,0.0,0,6180
Honduras,303387,1687,8014,52,102384,475,192989,699,30110,795.0,894331,88758,10076061,North America,33,1257,11,167.0,5,19153
Oman,298020,296,3906,17,282763,1039,11351,189,56791,744.0,1550000,295369,5247668,Asia,18,1343,3,56.0,3,2163
Egypt,284472,0,16550,0,232179,0,35743,90,2724,158.0,3068679,29384,104433716,Africa,367,6310,34,0.0,0,342
Lithuania,284432,218,4424,1,270037,217,9971,31,106102,1650.0,4089651,1525571,2680735,Europe,9,606,1,81.0,0,3720
Ethiopia,281811,0,4403,0,264008,0,13400,308,2387,37.0,3040755,25757,118056583,Africa,419,26813,39,0.0,0,114
Bahrain,269617,0,1384,0,267220,0,1013,5,152700,784.0,5510382,3120854,1765665,Asia,7,1276,0,0.0,0,574
Libya,262948,1996,3663,28,196714,1075,62571,0,37709,525.0,1345676,192983,6973040,Africa,27,1904,5,286.0,4,8973
Moldova,260024,0,6266,0,252421,0,1337,75,64623,1557.0,1428525,355026,4023723,Europe,15,642,3,0.0,0,332
Slovenia,259764,138,4429,0,254042,70,1293,8,124932,2130.0,1398406,672553,2079250,Europe,8,469,1,66.0,0,622
Armenia,231322,329,4632,7,220617,179,6073,0,77905,1560.0,1372405,462200,2969288,Asia,13,641,2,111.0,2,2045
Qatar,226874,0,601,0,224285,0,1988,23,80801,214.0,2354679,838619,2807805,Asia,12,4672,1,0.0,0,708
Kenya,206691,0,4025,0,191188,0,11478,190,3754,73.0,2156981,39176,55058602,Africa,266,13679,26,0.0,0,208
Bosnia and Herzegovina,205949,0,9689,0,189710,0,6550,0,63203,2973.0,1080309,331534,3258518,Europe,16,336,3,0.0,0,2010
S. Korea,205702,1776,2109,3,180719,1596,22874,369,4008,41.0,11908436,232055,51317350,Asia,249,24333,4,35.0,0,446
Zambia,197791,0,3430,0,189658,0,4703,387,10442,181.0,2112342,111512,18942741,Africa,96,5523,9,0.0,0,248
Vietnam,181756,3943,2327,0,54332,0,125097,0,1849,24.0,11890084,120965,98293215,Asia,541,42240,8,40.0,0,1273
Algeria,176724,0,4404,0,118409,0,53911,37,3952,98.0,230861,5163,44712451,Africa,253,10153,194,0.0,0,1206
Nigeria,176011,0,2167,0,165208,0,8636,11,831,10.0,2542261,12009,211688931,Africa,1203,97688,83,0.0,0,41
Mongolia,169851,1178,836,3,158685,0,10330,192,50918,251.0,3446882,1033316,3335747,Asia,20,3990,1,353.0,0,3097
Kyrgyzstan,167076,840,2372,9,152402,1550,12302,195,25157,357.0,1560926,235032,6641333,Asia,40,2800,4,126.0,1,1852
North Macedonia,156707,0,5497,0,150440,0,770,0,75221,2639.0,994490,477367,2083281,Europe,13,379,2,0.0,0,370
Afghanistan,149806,445,6879,15,101828,499,41099,1124,3756,172.0,721627,18094,39881090,Asia,266,5798,55,11.0,0,1031
Norway,139218,0,804,0,88952,0,49462,3,25463,147.0,6666934,1219385,5467458,Europe,39,6800,1,0.0,0,9047
Latvia,139204,70,2558,0,135795,105,851,7,74705,1373.0,3167744,1699987,1863393,Europe,13,728,1,38.0,0,457
Estonia,134479,258,1276,3,129312,129,3891,3,101302,961.0,1635989,1232375,1327509,Europe,10,1040,1,194.0,2,2931
Uzbekistan,133852,951,910,9,127309,932,5633,23,3937,27.0,1377915,40530,33997304,Asia,254,37360,25,28.0,0,166
Albania,133310,0,2457,0,130314,0,539,3,46379,855.0,916777,318949,2874366,Europe,22,1170,3,0.0,0,188
Mozambique,127425,0,1526,0,100912,0,24987,32,3957,47.0,756621,23493,32205816,Africa,253,21105,43,0.0,0,776
Namibia,119984,0,3112,0,96568,0,20304,74,46309,1201.0,618683,238785,2590963,Africa,22,833,4,0.0,0,7836
Botswana,115220,0,1653,0,96964,0,16603,1,47943,688.0,1514979,630386,2403255,Africa,21,1454,2,0.0,0,6909
Zimbabwe,113526,0,3711,0,82994,0,26821,33,7519,246.0,1122545,74348,15098482,Africa,133,4069,13,0.0,0,1776
Finland,109982,752,984,0,46000,0,62998,15,19816,177.0,5990307,1079312,5550115,Europe,50,5640,1,135.0,0,11351
Ghana,106434,381,854,7,98814,181,6766,36,3349,27.0,1459845,45939,31778080,Africa,299,37211,22,12.0,0,213
Cyprus,103889,0,430,0,80178,0,23281,85,85369,353.0,9366973,7697140,1216942,Asia,12,2830,0,0.0,0,19131
Montenegro,102660,0,1633,0,99152,0,1875,6,163432,2600.0,516218,821803,628153,Europe,6,385,1,0.0,0,2985
Uganda,94904,165,2752,18,87633,807,4519,581,2006,58.0,1486951,31432,47307473,Africa,498,17190,32,3.0,0,96
El Salvador,87498,0,2672,0,76670,0,8156,126,13416,410.0,1148242,176059,6521905,North America,75,2441,6,0.0,0,1251
Cameroon,82064,0,1334,0,80433,0,297,152,3010,49.0,1751774,64253,27263558,Africa,332,20437,16,0.0,0,11
Cambodia,80225,591,1507,19,73421,618,5297,0,4727,89.0,1848306,108910,16970915,Asia,212,11261,9,35.0,1,312
Maldives,77895,0,222,0,75095,0,2578,11,141395,403.0,1195684,2170411,550902,Asia,7,2482,0,0.0,0,4680
Luxembourg,74144,0,824,0,72306,0,1014,5,116384,1293.0,3303881,5186130,637061,Europe,9,773,0,0.0,0,1592
Rwanda,73610,0,850,0,44911,0,27849,45,5534,64.0,2114841,158999,13300947,Africa,181,15648,6,0.0,0,2094
Singapore,65508,98,39,0,63357,0,2112,7,11102,7.0,16206203,2746579,5900505,Asia,90,151295,0,17.0,0,358
Senegal,64522,0,1423,0,48812,0,14287,63,3746,83.0,659093,38268,17223001,Africa,267,12103,26,0.0,0,830
Malawi,54178,0,1729,0,39841,0,12608,285,2755,88.0,347411,17665,19666728,Africa,363,11375,57,0.0,0,641
Jamaica,53639,0,1207,0,47101,0,5331,34,18028,406.0,502133,168769,2975267,North America,55,2465,6,0.0,0,1792
DRC,50793,0,1045,0,30043,0,19705,0,549,11.0,273146,2952,92514880,Africa,1821,88531,339,0.0,0,213
Ivory Coast,50650,0,334,0,49642,0,674,0,1870,12.0,798105,29464,27087752,Africa,535,81101,34,0.0,0,25
Angola,43158,0,1026,0,39582,0,2550,8,1270,30.0,821071,24167,33975047,Africa,787,33114,41,0.0,0,75
Madagascar,42685,0,943,0,41177,0,565,27,1500,33.0,228372,8023,28464054,Africa,667,30185,125,0.0,0,20
Réunion,40245,0,288,0,35563,0,4394,45,44604,319.0,103924,115179,902279,Africa,22,3133,9,0.0,0,4870
Trinidad and Tobago,39345,0,1110,0,32454,0,5781,22,28015,790.0,275282,196009,1404433,North America,36,1265,5,0.0,0,4116
Sudan,37138,0,2776,0,30867,0,3495,0,826,62.0,234414,5214,44961646,Africa,1211,16197,192,0.0,0,78
Australia,35390,304,932,5,30462,0,3996,59,1371,36.0,25939949,1004560,25822206,Australia/Oceania,730,27706,1,12.0,0,155
Fiji,34888,968,283,11,11233,385,23372,40,38613,313.0,330098,365343,903528,Australia/Oceania,26,3193,3,1071.0,12,25867
Malta,34668,78,424,1,32642,204,1602,4,78288,957.0,1106569,2498880,442826,Europe,13,1044,0,176.0,2,3618
Cabo Verde,33906,0,298,0,33173,0,435,23,60270,530.0,199516,354653,562567,Africa,17,1888,3,0.0,0,773
French Guiana,30611,0,190,0,9995,0,20426,31,99682,619.0,327733,1067228,307088,South America,10,1616,1,0.0,0,66515
Eswatini,28535,0,818,0,22127,0,5590,10,24321,697.0,261112,222554,1173254,Africa,41,1434,4,0.0,0,4765
Mauritania,26902,0,581,0,22859,0,3462,16,5625,121.0,379556,79366,4782357,Africa,178,8231,13,0.0,0,724
Guinea,26188,0,238,0,24463,0,1487,24,1937,18.0,501543,37098,13519491,Africa,516,56805,27,0.0,0,110
Syria,26044,0,1919,0,22019,0,2106,0,1450,107.0,103566,5766,17962468,Asia,690,9360,173,0.0,0,117
Suriname,25614,0,657,0,21978,0,2979,25,43241,1109.0,92500,156155,592361,South America,23,902,6,0.0,0,5029
Gabon,25440,0,165,0,25228,0,47,8,11144,72.0,997059,436772,2282793,Africa,90,13835,2,0.0,0,21
Martinique,23029,0,129,0,104,0,22796,1,61419,344.0,246833,658314,374947,North America,16,2907,2,0.0,0,60798
Guyana,22643,0,549,0,22327,0,-233,12,28637,694.0,228511,289001,790692,South America,35,1440,3,0.0,0,-294.68
French Polynesia,21316,0,154,0,19599,0,1563,5,75407,545.0,26355,93233,282679,Australia/Oceania,13,1836,11,0.0,0,5529
Haiti,20326,0,563,0,14802,0,4961,0,1759,49.0,101640,8797,11553941,North America,568,20522,114,0.0,0,429
Guadeloupe,19503,0,242,0,2250,0,17011,23,48733,605.0,256597,641174,400199,North America,21,1654,2,0.0,0,42506
Mayotte,19503,0,174,0,2964,0,16365,0,69662,622.0,176919,631930,279966,Africa,14,1609,2,0.0,0,58454
Seychelles,18384,0,94,0,17874,0,416,0,185676,949.0,21504,217188,99011,Africa,5,1053,5,0.0,0,4202
Papua New Guinea,17774,0,192,0,17384,0,198,7,1946,21.0,147433,16146,9131358,Australia/Oceania,514,47559,62,0.0,0,22
Togo,16232,0,155,0,14654,0,1423,0,1912,18.0,411667,48491,8489536,Africa,523,54771,21,0.0,0,168
Taiwan,15742,0,791,0,14211,0,740,0,660,33.0,3940461,165123,23863824,Asia,1516,30169,6,0.0,0,31
Somalia,15658,0,832,0,7661,0,7165,0,956,51.0,171479,10472,16374474,Africa,1046,19681,95,0.0,0,438
Tajikistan,15364,0,121,0,14867,0,376,0,1572,12.0,0,0,9770450,Asia,636,80748,0,0.0,0,38
Bahamas,15124,0,292,0,12702,0,2130,14,38063,735.0,121222,305085,397339,North America,26,1361,3,0.0,0,5361
Andorra,14797,0,128,0,14380,0,289,0,191176,1654.0,193595,2501227,77400,Europe,5,605,0,0.0,0,3734
Mali,14605,0,534,0,13962,0,109,0,699,26.0,349424,16732,20883764,Africa,1430,39108,60,0.0,0,5
Belize,14331,0,338,0,13543,0,450,4,35343,834.0,188916,465907,405480,North America,28,1200,2,0.0,0,1110
Curaçao,13835,0,130,0,13157,0,548,4,83938,789.0,188634,1144450,164825,North America,12,1268,1,0.0,0,3325
Lesotho,13603,0,377,0,6664,0,6562,0,6295,174.0,136956,63383,2160764,Africa,159,5731,16,0.0,0,3037
Burkina Faso,13599,0,169,0,13385,0,45,0,632,8.0,204805,9515,21525450,Africa,1583,127370,105,0.0,0,2
Congo,13216,0,178,0,12421,0,617,0,2333,31.0,188207,33219,5665616,Africa,429,31829,30,0.0,0,109
