,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
198,Wallis and Futuna,445,,7 ,,438,,0,,"40,235",633,"19,209","1,736,799","11,060 ",Australia/Oceania,25,"1,580",1,,,
199,Fiji,314,,4 ,,159,,151,,348,4,"98,915","109,625","902,305 ",Australia/Oceania,"2,874","225,576",9,,,167
200,British Virgin Islands,248,,1 ,,209,,38,,"8,154",33,"39,777","1,307,895","30,413 ",North America,123,"30,413",1,,,"1,249"
201,Brunei ,241,+1,3 ,,228,,10,,546,7,"126,634","286,986","441,255 ",Asia,"1,831","147,085",3,2,,23
202,Dominica,184,, ,,176,,8,,"2,550",,"16,134","223,627","72,147 ",North America,392,,4,,,111
203,Grenada,161,,1 ,,160,,0,,"1,425",9,"28,684","253,854","112,994 ",North America,702,"112,994",4,,,
204,New Caledonia,126,, ,,58,,68,,438,,"32,709","113,584","287,972 ",Australia/Oceania,"2,285",,9,,,236
205,Anguilla,109,, ,,109,,0,,"7,207",,"22,201","1,467,932","15,124 ",North America,139,,1,,,
206,Saint Kitts and Nevis,64,, ,,45,,19,,"1,195",,"15,851","296,070","53,538 ",North America,837,,3,,,355
207,Falkland Islands,63,, ,,63,,0,,"17,642",,"7,258","2,032,484","3,571 ",South America,57,,0,,,
208,Macao,51,, ,,49,,2,,78,,"4,483","6,820","657,305 ",Asia,"12,888",,147,,,3
209,Greenland,36,, ,,33,,3,,633,,"24,663","433,757","56,859 ",North America,"1,579",,2,,,53
210,Vatican City,27,, ,,27,,0,,"33,624",,,,803 ,Europe,30,,,,,
211,Saint Pierre Miquelon,25,, ,,25,,0,,"4,334",,"5,736","994,452","5,768 ",North America,231,,1,,,
212,Montserrat,20,,1 ,,19,,0,,"4,004",200,"1,408","281,882","4,995 ",North America,250,"4,995",4,,,
213,Solomon Islands,20,, ,,20,,0,,28,,"4,500","6,410","701,996 ",Australia/Oceania,"35,100",,156,,,
